sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045265,8.323219,4.56948,7.271013,7.42659,5.26981,6.448594,10.279513,3.159515,6.844611,7.344592,4.877647,8.74219,5.955904,6.854475,6.754496,8.702936,7.577481,7.371359,6.685656,7.326735,5.67651,3.813186,4.406106
GSM1045266,8.570183,6.422549,9.068152,6.442271,5.376439,4.67081,4.650827,2.934449,7.871731,6.161008,5.271481,7.452724,4.402759,5.10344,4.789401,5.919952,7.341667,7.793338,5.401509,7.32324,3.341616,3.55815,5.482606
GSM1045267,8.329593,5.389193,6.923507,7.439459,4.008498,8.833406,8.685818,3.615099,7.192097,6.324541,4.187938,7.33092,5.493728,7.132971,6.65419,8.953127,7.273681,7.419667,5.501437,7.09762,4.776114,3.958108,5.670883
GSM1045268,7.692895,4.499897,7.240954,7.022642,6.931154,7.820748,6.947865,2.739517,6.82835,7.308472,6.317372,9.818149,6.128527,5.789403,6.005706,5.732051,7.883923,6.936551,6.335357,6.528894,6.186204,2.78153,5.325623
GSM1045269,8.266592,4.964985,7.782889,7.558437,5.120741,6.482685,6.775912,2.879291,8.475726,6.767916,5.735209,7.551991,4.513064,7.128414,5.012887,6.902599,7.958206,7.856889,6.231753,7.63385,4.370238,3.331926,5.292152
GSM1045270,7.230485,4.081698,8.27659,7.301992,8.206017,7.76778,11.030512,2.782924,6.744854,6.73961,7.595008,6.211077,6.339929,7.282859,5.768478,4.615625,7.87138,6.870921,8.800204,6.441715,4.659989,2.976298,4.682705
GSM1045271,7.584723,4.666956,7.228428,7.260905,6.246113,6.700378,7.552639,2.887107,7.104299,7.117154,6.185245,7.228494,4.671951,7.123035,6.260658,5.878233,7.256974,7.042866,5.636653,7.095061,5.93252,2.997716,5.926669
GSM1045272,7.888418,5.12444,6.481738,7.346691,6.079533,9.725869,6.844944,2.713336,7.050314,7.162733,5.795732,8.84626,6.154656,8.104082,6.790572,5.425945,8.327938,7.719026,5.394629,7.172304,5.093693,2.68955,6.765776
GSM1045273,7.060149,4.284323,6.919848,6.783728,7.5096,5.830788,6.833679,2.885119,5.98326,6.848023,5.790792,8.46104,4.342834,8.615005,4.895052,5.19747,7.814371,6.439627,7.301624,6.049357,5.195657,2.67299,6.540617
GSM1045274,7.596884,3.853579,7.546521,7.015877,5.841775,4.983217,4.647632,2.645874,5.473883,5.637257,7.336835,7.354767,5.137436,5.251029,6.537953,6.30159,8.494232,5.983059,4.849573,6.024536,5.421,2.774443,4.649312
GSM1045275,7.197876,4.877496,5.246623,7.417076,6.854443,6.249469,8.023533,2.379746,7.43973,6.242984,5.62891,5.795987,4.42358,7.326725,5.423053,5.619434,7.802268,6.09472,6.297644,7.487841,4.236794,2.750901,5.826543
GSM1045276,6.018635,4.382582,5.046449,8.504611,6.492336,3.884615,9.033385,2.999468,5.225533,6.564862,6.276755,7.654126,6.217037,7.713762,5.248253,4.8803,7.578041,6.672298,6.663681,5.314171,5.12399,2.922194,4.827646
GSM1045277,7.397243,4.700546,6.3607,7.665679,6.626361,8.474884,7.420578,2.858625,6.454874,7.167209,5.412953,8.65138,4.210002,6.744998,6.557764,5.554326,8.510788,6.673374,5.923056,7.201439,6.275503,2.869732,4.892702
GSM1045278,6.972908,4.931832,5.207606,7.898101,5.109897,8.109185,9.195312,2.913367,5.371166,6.43307,5.392264,8.086543,5.867833,6.620187,5.047373,8.516705,7.19635,7.443306,6.820173,7.012909,4.965887,3.675235,4.911472
GSM1045279,7.520867,6.080517,5.83295,8.09602,4.588062,8.677282,4.849286,4.692816,7.604143,6.546872,4.555163,9.640358,5.640354,6.34756,6.384627,9.151367,7.436136,8.106753,7.756001,7.337173,4.865239,4.59023,4.781157
GSM1045280,7.83182,5.232,5.999321,7.450183,4.445772,6.261172,5.704442,3.066866,5.918923,6.489934,4.537885,7.995016,5.103513,5.5335,6.197136,5.864678,6.587525,6.598767,6.148855,7.420137,4.605832,3.243868,5.061414
GSM1045281,7.829505,4.033496,7.378365,7.2486,5.855847,6.058369,4.251197,2.820501,8.420407,7.095372,6.676316,9.170876,6.04559,6.494469,6.867362,5.834721,7.05243,6.9433,5.36822,6.454915,4.673588,2.486867,6.032802
GSM1045282,5.799433,4.192057,3.605511,7.631678,6.361713,5.266796,10.36756,3.127693,3.771751,5.394426,6.020789,5.444197,5.26524,5.238024,7.131022,3.821401,5.633351,5.479074,5.858253,5.652285,3.77324,4.96307,4.878988
GSM1045283,7.195374,4.881752,7.965603,7.146738,4.687355,5.503329,9.274315,2.737594,5.975632,6.278369,5.217016,6.785462,4.973748,6.79962,5.872655,6.05961,7.319109,6.872722,5.838161,7.035119,4.856219,2.835722,6.037521
GSM1045284,7.066678,5.522812,6.3841,6.635065,6.617307,7.953271,8.535951,2.857071,5.035357,7.028438,6.716077,9.328869,6.291581,5.009753,5.834074,6.172921,7.665596,6.445763,6.229018,5.581937,4.723734,2.77302,6.500206
GSM1045285,7.145361,4.869425,5.11037,6.767324,5.360912,3.725915,11.183018,3.025749,4.991628,5.734676,6.109566,6.73329,5.759132,6.343519,5.735685,5.188878,7.157094,6.196645,6.614104,6.318081,3.990257,5.058946,5.177185
GSM1045286,7.757977,5.467411,8.237112,7.722009,4.657043,9.165031,9.104079,3.13822,7.817392,6.340893,4.752758,7.374093,6.239911,8.183768,6.706355,7.422454,7.523344,7.10494,5.652861,6.830017,4.582287,3.102957,6.522915
GSM1045287,7.49577,4.052295,4.726597,7.486786,5.678474,6.392837,5.511803,2.548207,4.084453,6.428339,5.100838,5.470543,5.027239,5.234184,6.327261,6.034012,8.029277,5.859049,6.181997,6.197035,3.897514,7.140255,4.167372
GSM1045288,5.900544,4.728989,5.470008,7.431663,4.322613,7.524725,5.307978,3.552704,5.674511,5.344444,5.268751,6.701643,5.569377,6.744504,5.407056,4.871144,6.913174,6.29701,5.291155,5.95779,4.847983,2.971151,4.635722
GSM1045289,7.54094,5.019718,7.044501,7.673608,4.905728,7.020101,5.057439,2.710764,5.739777,6.498139,4.52271,7.621095,5.063862,6.081298,6.183122,6.837977,7.508034,6.07716,6.722169,7.465425,5.086559,3.985663,4.828249
GSM1045290,7.340134,5.276349,6.694731,7.341442,4.272932,8.739226,8.134405,2.784164,7.606145,7.499853,4.975951,6.79272,5.548302,7.598879,5.621444,7.078737,7.3172,7.358988,5.900252,7.064672,4.506158,2.884969,6.026053
