"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8693","KIF4A",-1.77094424301796,5.21491835105621,-6.95108538879552,1.935685407729e-10,3.07988739929255e-09,13.1373820691312
"7448","HIBADH",1.01047759361639,5.468989456907,6.94668408824243,1.9793943795801e-10,3.14250625291841e-09,13.1154525915945
"237","ACKR3",1.07139849462383,5.47877971885494,6.94487044912471,1.99768812646768e-10,3.16922610832657e-09,13.1064178670046
"6301","FOXA1",-2.92408501573078,5.78057383604855,-6.9442104536854,2.00438674768282e-10,3.17520080622323e-09,13.1031303210958
"1337","ATP1B1",-2.14324554507098,9.99913952363207,-6.94325585467961,2.0141147571058e-10,3.18827887902969e-09,13.0983755433643
"14892","PRPF19",-1.10508238520319,8.01806485866714,-6.93597609918539,2.08985192980468e-10,3.30092950692344e-09,13.0621249190482
"8380","KANK4",2.43766765330038,6.84454002787463,6.93382384533468,2.11277808261632e-10,3.33228036264067e-09,13.0514105802121
"4174","CTSG",1.01594215258185,5.32232453615748,6.93175630768193,2.13503594163862e-10,3.36493473916917e-09,13.0411193217584
"1787","BMS1P6",-1.02131372663943,6.46697307823205,-6.92695608943128,2.18761009607579e-10,3.44328321896855e-09,13.0172311208769
"1968","C11orf73",1.45525074310779,6.14794401933228,6.92692742752748,2.1879278269687e-10,3.44328321896855e-09,13.0170885068251
"8234","IRS2",1.90926746859357,7.61196757291266,6.92335539761728,2.22788474300328e-10,3.4985383690889e-09,12.9993170218264
"14600","PPAP2C",-1.89177363636489,5.88253050424781,-6.92281927679825,2.23394375985283e-10,3.50551102316036e-09,12.9966500663715
"11875","MEOX1",1.87720613511296,5.37946305903659,6.92252664478313,2.23725783653825e-10,3.50777395321865e-09,12.9951943937431
"3081","CDH5",1.32623649177577,5.13753147275854,6.91146426634343,2.36616910460404e-10,3.6995950873791e-09,12.9401850417373
"16905","S100A10",1.27837001146166,7.77897598168807,6.90774406654538,2.41114991306881e-10,3.76177603512285e-09,12.9216943338185
"4215","CXADR",-1.71733173267116,5.70806866409361,-6.90632920433794,2.42847795155173e-10,3.78608279631769e-09,12.9146631001467
"13956","PDHA1",1.09960429922956,7.07416751877204,6.89662766310488,2.55065586832806e-10,3.96229934208352e-09,12.8664675969312
"14233","PIP4K2C",-1.04937826190136,7.80674066784631,-6.8894825694422,2.64450553289878e-10,4.09633528719049e-09,12.83099088445
"18567","STRBP",-1.00460161002884,5.99348844679528,-6.88483446384225,2.70738181671979e-10,4.18773951721907e-09,12.8079207727148
"9692","LMNB2",-1.45329863266022,6.43159627306474,-6.88386252793392,2.72071509872838e-10,4.20535941919793e-09,12.8030975853908
"3216","CENPU",-1.22238213235636,5.14512925946199,-6.88338894925488,2.72723527702632e-10,4.21243080770364e-09,12.8007475804877
"4906","DPP3",-1.14374017295069,7.43279840692182,-6.87833810910267,2.79774271031457e-10,4.31517937263974e-09,12.7756885522627
"1800","BOK",2.02455667596578,7.12358720905618,6.87679761124146,2.81960374512602e-10,4.34580207122448e-09,12.768047188059
"8332","JADE1",1.00774507199401,5.86041014176361,6.87503361831731,2.84484378914194e-10,4.38158550881001e-09,12.7592981347124
"19259","TM7SF2",1.60164161845945,6.57371862509386,6.87269117635846,2.87870602054922e-10,4.42744168146259e-09,12.7476816055697
"13298","NUF2",-2.05731731624539,4.90588255688263,-6.85969433084676,3.07395278354492e-10,4.71100124045755e-09,12.6832597403319
"4018","CSTF3",-1.14606426289409,6.72171893515344,-6.84825852498413,3.2565362823097e-10,4.95226778043656e-09,12.6266197952421
"3740","COMP",-2.58300917851848,6.36210951316176,-6.84763170879826,3.26684811406164e-10,4.96446287087753e-09,12.6235164638694
"6273","FN1",-1.54048931747074,8.22675252010138,-6.83463628137331,3.48805667201805e-10,5.28948650087891e-09,12.5592050514445
"17098","SDF2L1",-1.1554509424903,7.29714471665752,-6.83306584396675,3.51577156219818e-10,5.32778398736191e-09,12.5514369660179
"13981","PDRG1",-1.03579004626183,7.2311378401391,-6.8298100533452,3.57392443418328e-10,5.39848031601742e-09,12.5353348839588
"5217","EIF2B3",1.08155122832139,6.76492720001767,6.82948693214318,3.57974740793086e-10,5.40205087935489e-09,12.5337370166423
"7706","HRCT1",1.54636149448331,5.79591224521525,6.82870717016434,3.5938381524304e-10,5.41576654077108e-09,12.5298811518178
"13042","NNT-AS1",1.02483200518848,4.5876087093956,6.81448021578464,3.86076482396202e-10,5.78580361680952e-09,12.4595641775769
"11751","MBOAT2",-1.267535774839,6.76231020063634,-6.81066206292857,3.93567528761812e-10,5.88788925098001e-09,12.4407039677883
"6538","GALNT7",-2.20603179440446,7.15986952086494,-6.80739493217168,4.0009138340891e-10,5.97103990883525e-09,12.4245693270132
"4437","DCN",1.45922132476056,6.70430483229256,6.80242296280264,4.10225042629156e-10,6.11384948254259e-09,12.4000219971387
"7571","HMGN1",-1.22736436515198,9.89306842652414,-6.79356809189369,4.28904489921239e-10,6.37907055579975e-09,12.3563240243759
"3358","CHPF2",-1.04067638313306,7.38195225995141,-6.79210309058787,4.32074916690397e-10,6.42181353529893e-09,12.3490968273426
"3113","CDK5RAP3",-1.05623265476561,8.47472106506842,-6.7890398759376,4.38779063132045e-10,6.51251584107226e-09,12.3339875177277
"8794","KLHL5",1.11289856109498,4.97506676078774,6.78730461907705,4.42622332518497e-10,6.56056578418074e-09,12.3254297135153
"18778","TAF1D",-1.34969514848345,6.86520952541113,-6.78243005127655,4.53597414775099e-10,6.71864023047522e-09,12.3013949389266
"17623","SLC25A33",1.61789121180083,7.25417792009126,6.78033481175607,4.58397054925535e-10,6.7804564374402e-09,12.2910664283104
"5280","ELMO3",-1.45758128616624,5.88818113495389,-6.77266251711443,4.76404348104283e-10,7.03240365248687e-09,12.2532579673618
"20438","USP54",-1.16560593381606,6.73850383590854,-6.77242582718869,4.76970843363815e-10,7.03596976365355e-09,12.2520918836365
"17074","SCRIB",-1.24960777796395,7.51670838456196,-6.77093801706949,4.80547046774275e-10,7.07907911421559e-09,12.2447624126122
"2310","C4orf3",1.04973078981275,7.89253736071566,6.76884780118669,4.85616019009992e-10,7.14403185574822e-09,12.234466503292
"12174","MOGS",-1.09836101256472,6.8236556389913,-6.76614632764512,4.92245662002554e-10,7.22683376994258e-09,12.221161800511
"19848","TRIM59",-1.5202584782911,4.25128345811975,-6.75594856182002,5.18087403064019e-10,7.55310145070761e-09,12.1709595620098
"5101","ECHS1",1.22531973349439,9.92248103944264,6.75586459548678,5.18305645613092e-10,7.55310145070761e-09,12.170546348633
"16178","RP11-334C17.5",-1.59497898808805,6.19432155872711,-6.75374562050406,5.23843377009998e-10,7.62354054378461e-09,12.1601192599747
"9256","LINC00342",-1.12238123517156,5.91265248074026,-6.74983700827705,5.34211896780149e-10,7.76399907702961e-09,12.1408895675717
"8279","ITGAE",1.21962407475034,8.44994266969682,6.74954887753624,5.34984204613711e-10,7.77000868605629e-09,12.1394722134208
"5388","EPB41L3",1.7657420121535,5.1442340764216,6.74549005645659,5.45981404360896e-10,7.92046822711871e-09,12.1195092287444
"21414","ZNF587",-1.06382914998971,6.59946497219336,-6.74545577677063,5.46075228034553e-10,7.92046822711871e-09,12.1193406499916
"5152","EFEMP1",1.93489621454015,5.75163883592151,6.74410981014849,5.49771760147775e-10,7.96874663052214e-09,12.1127218357647
"11886","MEST",2.50643950980819,7.73478203898601,6.73686783764544,5.70089243443725e-10,8.24117661333369e-09,12.0771195760165
"8178","IPO4",-1.04044945854865,7.12247484431196,-6.73096658255056,5.87192210421678e-10,8.46017785541014e-09,12.0481212404788
"8345","JAM2",1.36874651147594,5.24247956173764,6.72634068618283,6.00952369538937e-10,8.64692595506025e-09,12.0253979920868
"5876","FAM83D",-2.01738098033339,5.47032832068256,-6.72178485129243,6.14815244072529e-10,8.83465435327845e-09,12.003025840459
"19064","TFAP2C",-1.31864969518791,5.6003404918646,-6.71564090430913,6.34011838798654e-10,9.09842701735245e-09,11.9728659406552
"8226","IRF7",-1.6013517704439,7.30429196227066,-6.71335043604152,6.4131879506084e-10,9.19095654234209e-09,11.9616255226883
"12684","NAT10",-1.08369545846263,7.46197704477474,-6.70929320462282,6.54466680016937e-10,9.36094845162931e-09,11.9417190509435
"12576","MYO5C",-1.62237246701691,7.90320797893306,-6.70102365892086,6.82094633377676e-10,9.73682220553301e-09,11.9011622300842
"14527","POLR2L",1.13598843673401,7.69928631203855,6.69941928361466,6.87586607320471e-10,9.80229623536853e-09,11.8932964474031
"18475","STAG3L3",-1.05330649324087,5.58872749458312,-6.698017028695,6.92422441081562e-10,9.86009675807243e-09,11.886422307954
"20096","TUBB6",1.81759383923679,8.38423961433639,6.6979796786894,6.92551704873155e-10,9.86009675807243e-09,11.8862392196217
"16884","RUSC1-AS1",-1.15775112794518,5.0850040619085,-6.69236852581997,7.12244356528627e-10,1.01271513727035e-08,11.8587388722318
"4999","DTX3L",-1.04441183624225,8.15641201082407,-6.69191333387574,7.13865911503803e-10,1.01435474498785e-08,11.8565084327692
"15265","RAB26",-1.60059755945517,6.3685032666911,-6.6883127967653,7.26821403032768e-10,1.03141005784237e-08,11.8388682622359
"8619","KIAA1324",-2.10907355897047,6.82171902879717,-6.68695233750186,7.31776818280277e-10,1.03776208250553e-08,11.832204076238
"19570","TNFAIP8L1",-1.20834199415809,6.23092064137044,-6.68452197208095,7.40712482213159e-10,1.04974664936688e-08,11.8203005233712
