sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045268,4.499897,7.240954,7.022642,6.931154,6.947865,2.739517,6.615161,6.82835,4.855841,7.308472,6.894093,6.128527,5.789403,5.965571,6.005706,7.883923,9.988875,6.335357,6.528894,4.997327,3.898718
GSM1045269,4.964985,7.782889,7.558437,5.120741,6.775912,2.879291,7.449195,8.475726,4.886293,6.767916,7.788411,4.513064,7.128414,6.204158,5.012887,7.958206,7.254164,6.231753,7.63385,5.117189,4.531512
GSM1045270,4.081698,8.27659,7.301992,8.206017,11.030512,2.782924,5.350064,6.744854,4.555487,6.73961,6.918412,6.339929,7.282859,7.055356,5.768478,7.87138,5.873344,8.800204,6.441715,5.038126,6.547687
GSM1045271,4.666956,7.228428,7.260905,6.246113,7.552639,2.887107,7.132906,7.104299,5.263829,7.117154,6.857508,4.671951,7.123035,6.927992,6.260658,7.256974,8.560801,5.636653,7.095061,4.669469,4.51089
GSM1045272,5.12444,6.481738,7.346691,6.079533,6.844944,2.713336,8.360753,7.050314,5.147629,7.162733,6.770127,6.154656,8.104082,5.025528,6.790572,8.327938,6.868382,5.394629,7.172304,5.530966,4.101859
GSM1045273,4.284323,6.919848,6.783728,7.5096,6.833679,2.885119,4.918743,5.98326,4.928168,6.848023,6.786301,4.342834,8.615005,5.355715,4.895052,7.814371,9.449129,7.301624,6.049357,4.376754,4.241184
GSM1045274,3.853579,7.546521,7.015877,5.841775,4.647632,2.645874,6.929925,5.473883,4.155526,5.637257,6.610679,5.137436,5.251029,6.630714,6.537953,8.494232,6.236707,4.849573,6.024536,4.661166,4.441576
GSM1045275,4.877496,5.246623,7.417076,6.854443,8.023533,2.379746,5.435689,7.43973,4.679177,6.242984,8.076057,4.42358,7.326725,8.827855,5.423053,7.802268,6.440013,6.297644,7.487841,5.262762,6.792103
GSM1045276,4.382582,5.046449,8.504611,6.492336,9.033385,2.999468,6.802183,5.225533,4.364052,6.564862,6.808521,6.217037,7.713762,6.979346,5.248253,7.578041,6.81858,6.663681,5.314171,4.433895,3.952767
GSM1045277,4.700546,6.3607,7.665679,6.626361,7.420578,2.858625,6.474798,6.454874,4.239795,7.167209,7.166397,4.210002,6.744998,5.90907,6.557764,8.510788,6.537057,5.923056,7.201439,4.878965,4.525666
GSM1045278,4.931832,5.207606,7.898101,5.109897,9.195312,2.913367,6.479017,5.371166,4.342396,6.43307,7.007862,5.867833,6.620187,8.479825,5.047373,7.19635,6.544825,6.820173,7.012909,5.225539,4.763943
GSM1045279,6.080517,5.83295,8.09602,4.588062,4.849286,4.692816,6.061222,7.604143,5.341362,6.546872,6.757721,5.640354,6.34756,7.704544,6.384627,7.436136,7.485629,7.756001,7.337173,5.418593,6.261768
GSM1045280,5.232,5.999321,7.450183,4.445772,5.704442,3.066866,7.561211,5.918923,5.488583,6.489934,6.7642,5.103513,5.5335,6.400959,6.197136,6.587525,7.86064,6.148855,7.420137,5.049083,5.406793
GSM1045281,4.033496,7.378365,7.2486,5.855847,4.251197,2.820501,5.189172,8.420407,4.093197,7.095372,7.230314,6.04559,6.494469,7.295642,6.867362,7.05243,6.964251,5.36822,6.454915,5.006894,4.076676
